id,ACTIONS_CRM_CONTACTS_sum,ACTIONS_CRM_COMPANIES_sum,ACTIONS_CRM_DEALS_sum,ACTIONS_EMAIL_sum,USERS_CRM_CONTACTS_sum,USERS_CRM_COMPANIES_sum,USERS_CRM_DEALS_sum,USERS_EMAIL_sum,WHEN_TIMESTAMP_nunique,WHEN_TIMESTAMP_min,WHEN_TIMESTAMP_max,activity_span_days,recency_days,total_actions,ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,is_customer
3942,0,0,0,0,0,0,0,0,3,2020-06-08,2020-07-06,28,21,0,16000001.0,6 to 10,,0
3945,0,0,2,0,0,0,1,0,2,2020-05-18,2020-06-08,21,49,2,16000001.0,6 to 10,,0
3946,1,0,0,0,1,0,0,0,1,2020-06-08,2020-06-08,0,49,1,2337187.0,51 to 200,Technology - Software,0
3947,478,57,271,0,34,11,22,0,32,2019-11-18,2020-07-27,252,0,806,16000001.0,2 to 5,,0
3948,5,0,0,0,1,0,0,0,2,2020-05-04,2020-05-11,7,77,5,16000001.0,,,0
3949,21,6,35,0,2,2,1,0,3,2020-03-30,2020-07-13,105,14,62,16000001.0,2 to 5,,0
3950,90,0,0,0,9,0,0,0,10,2019-03-04,2019-10-28,238,273,90,69861.0,51 to 200,RETAIL,0
3951,0,2,1,0,0,1,1,0,1,2020-02-03,2020-02-03,0,175,3,16000001.0,2 to 5,,0
3953,0,0,0,0,0,0,0,0,6,2020-06-08,2020-07-27,49,0,0,16000001.0,6 to 10,STAFFING_AND_RECRUITING,0
3955,0,0,0,0,0,0,0,0,5,2020-02-24,2020-06-01,98,56,0,16000001.0,1001 to 10000,,0
3956,0,0,0,0,0,0,0,0,2,2020-05-04,2020-05-11,7,77,0,14251.0,6 to 10,,0
3957,0,0,0,0,0,0,0,0,1,2020-03-23,2020-03-23,0,126,0,16000001.0,,,0
3958,1,0,0,0,1,0,0,0,1,2019-01-14,2019-01-14,0,560,1,16000001.0,11 to 25,,0
3959,24,33,22,0,10,8,4,0,20,2019-09-09,2020-03-30,203,119,79,16000001.0,2 to 5,,0
3960,672,32,102,9,58,15,16,7,45,2019-06-17,2020-07-06,385,21,815,16000001.0,6 to 10,,0
3962,0,0,0,0,0,0,0,0,1,2020-01-27,2020-01-27,0,182,0,1880780.0,11 to 25,,0
3963,0,0,0,0,0,0,0,0,1,2020-04-20,2020-04-20,0,98,0,16000001.0,6 to 10,CONSTRUCTION,0
3964,0,0,0,0,0,0,0,0,1,2019-12-23,2019-12-23,0,217,0,16000001.0,1,,0
3965,0,0,0,0,0,0,0,0,1,2020-01-27,2020-01-27,0,182,0,16000001.0,2 to 5,,0
3966,0,0,0,0,0,0,0,0,9,2019-01-14,2019-12-09,329,231,0,16000001.0,,,0
3967,430,22,576,0,76,13,65,0,54,2019-06-24,2020-07-27,399,0,1028,2731269.0,11 to 25,,0
3969,0,0,0,0,0,0,0,0,1,2019-12-16,2019-12-16,0,224,0,656782.0,51 to 200,Software / IT,0
3970,0,0,0,0,0,0,0,0,1,2020-04-27,2020-04-27,0,91,0,16000001.0,,,0
3971,21,10,0,2,8,4,0,1,34,2019-04-22,2020-07-13,448,14,33,16000001.0,11 to 25,,0
3972,0,0,0,0,0,0,0,0,2,2020-04-27,2020-05-11,14,77,0,3612183.0,26 to 50,,0
3974,281,74,1,0,31,11,1,0,54,2019-05-20,2020-07-20,427,7,356,16000001.0,2 to 5,,0
3977,0,0,0,0,0,0,0,0,1,2020-06-08,2020-06-08,0,49,0,175349.0,6 to 10,,0
3978,0,0,0,0,0,0,0,0,4,2019-01-07,2019-04-22,105,462,0,16000001.0,,,0
3979,1,0,0,0,1,0,0,0,1,2020-04-20,2020-04-20,0,98,1,8519713.0,2 to 5,,0
3980,6,0,0,0,2,0,0,0,13,2019-04-08,2019-12-02,238,238,6,16000001.0,6 to 10,,0
3981,0,0,0,0,0,0,0,0,1,2019-08-19,2019-08-19,0,343,0,16000001.0,1,,0
3982,2,0,0,0,1,0,0,0,21,2019-05-06,2020-07-27,448,0,2,16000001.0,1,,0
3983,45,49,35,0,7,6,6,0,7,2019-12-09,2020-03-09,91,140,129,16000001.0,6 to 10,,0
3984,208,1,0,0,9,1,0,0,7,2020-01-20,2020-03-30,70,119,209,16000001.0,6 to 10,,0
3987,20,2,107,0,5,2,3,0,1,2020-07-27,2020-07-27,0,0,129,16000001.0,26 to 50,,0
3988,0,0,0,0,0,0,0,0,2,2019-08-12,2019-09-23,42,308,0,300848.0,2 to 5,,0
3989,2,0,1,0,1,0,1,0,1,2019-09-16,2019-09-16,0,315,3,16000001.0,6 to 10,,0
3990,1049,46,2,0,41,11,2,0,30,2019-08-05,2020-04-06,245,112,1097,2497213.0,201 to 1000,FINANCIAL_SERVICES,0
3991,8,1,0,0,1,1,0,0,1,2019-12-02,2019-12-02,0,238,9,16000001.0,2 to 5,,0
3992,0,0,0,0,0,0,0,0,1,2019-03-11,2019-03-11,0,504,0,16000001.0,6 to 10,,0
3993,0,0,0,0,0,0,0,0,1,2019-06-24,2019-06-24,0,399,0,493410.0,2 to 5,,0
3994,1,0,0,0,1,0,0,0,1,2020-03-02,2020-03-02,0,147,1,16000001.0,6 to 10,,0
3996,5,0,0,0,1,0,0,0,1,2020-03-23,2020-03-23,0,126,5,836207.0,6 to 10,BUILDING_MATERIALS,0
3997,0,0,0,0,0,0,0,0,3,2020-01-06,2020-02-10,35,168,0,16000001.0,1,,0
3998,0,0,0,0,0,0,0,0,1,2019-02-18,2019-02-18,0,525,0,2570141.0,6 to 10,EVENTS_SERVICES,0
3999,1,1,0,0,1,1,0,0,1,2019-06-17,2019-06-17,0,406,2,16000001.0,51 to 200,,0
4001,5,1,3,0,1,1,2,0,6,2019-04-08,2020-02-10,308,168,9,16000001.0,1,,0
4002,2,0,0,0,1,0,0,0,1,2020-07-20,2020-07-20,0,7,2,16000001.0,6 to 10,,0
4003,7,0,1,0,1,0,1,0,2,2019-05-27,2019-06-03,7,420,8,16000001.0,6 to 10,,0
4004,0,0,0,0,0,0,0,0,1,2020-04-06,2020-04-06,0,112,0,16000001.0,2 to 5,,0
4005,0,0,0,0,0,0,0,0,11,2019-03-11,2019-08-26,168,336,0,16000001.0,2 to 5,,0
4006,0,0,0,0,0,0,0,0,1,2019-09-16,2019-09-16,0,315,0,16000001.0,2 to 5,,0
4007,0,0,11,0,0,0,5,0,12,2019-10-07,2020-01-20,105,189,11,16000001.0,2 to 5,,0
4009,8,0,0,0,1,0,0,0,1,2020-03-02,2020-03-02,0,147,8,16000001.0,,,0
4010,0,0,0,0,0,0,0,0,2,2019-12-23,2020-01-13,21,196,0,16000001.0,2 to 5,,0
4011,0,0,0,0,0,0,0,0,1,2020-07-27,2020-07-27,0,0,0,16000001.0,51 to 200,,0
4013,0,0,0,0,0,0,0,0,1,2020-04-20,2020-04-20,0,98,0,2628950.0,6 to 10,,0
4014,0,0,0,0,0,0,0,0,1,2019-12-16,2019-12-16,0,224,0,16000001.0,6 to 10,Non Profit,0
4016,0,3,0,0,0,2,0,0,2,2020-06-15,2020-07-06,21,21,3,16000001.0,,HEALTH_WELLNESS_AND_FITNESS,0
4017,0,0,0,0,0,0,0,0,1,2020-07-20,2020-07-20,0,7,0,16000001.0,51 to 200,,0
4018,2,0,0,0,1,0,0,0,1,2020-07-20,2020-07-20,0,7,2,16000001.0,2 to 5,,0
4019,5,0,0,0,1,0,0,0,1,2020-07-06,2020-07-06,0,21,5,16000001.0,,,0
4021,0,0,0,0,0,0,0,0,5,2019-05-20,2019-12-30,224,210,0,67155.0,51 to 200,INFORMATION_TECHNOLOGY_AND_SERVICES,0
4022,0,0,0,0,0,0,0,0,1,2020-05-18,2020-05-18,0,70,0,16000001.0,2 to 5,,0
4025,1,0,0,0,1,0,0,0,1,2019-12-02,2019-12-02,0,238,1,16000001.0,2 to 5,,0
4027,0,0,0,0,0,0,0,0,4,2019-06-17,2020-01-13,210,196,0,16000001.0,,,0
4028,0,0,0,0,0,0,0,0,1,2020-03-23,2020-03-23,0,126,0,16000001.0,2 to 5,,0
4029,0,0,0,0,0,0,0,0,1,2019-05-06,2019-05-06,0,448,0,16000001.0,26 to 50,,0
4030,0,0,0,11,0,0,0,5,5,2020-06-01,2020-07-27,56,0,11,236759.0,201 to 1000,CONSUMER_GOODS,0
4031,0,0,0,0,0,0,0,0,1,2019-10-14,2019-10-14,0,287,0,16000001.0,6 to 10,,0
4032,0,0,0,0,0,0,0,0,8,2019-05-20,2020-02-17,273,161,0,7435484.0,2 to 5,,0
4033,0,0,0,0,0,0,0,0,1,2019-01-14,2019-01-14,0,560,0,16000001.0,1,,0
4034,29,3,0,0,2,2,0,0,2,2020-01-13,2020-01-20,7,189,32,9570686.0,26 to 50,TELECOMMUNICATIONS,0
4035,0,0,0,0,0,0,0,0,1,2019-12-02,2019-12-02,0,238,0,16000001.0,1,,0
4036,0,0,0,0,0,0,0,0,1,2020-01-27,2020-01-27,0,182,0,1151545.0,"10,001 or more",,0
4038,14,8,0,1,2,2,0,1,3,2019-06-10,2019-08-12,63,350,23,16000001.0,1,,0
4042,0,0,0,0,0,0,0,0,2,2020-06-08,2020-07-27,49,0,0,16000001.0,1,,0
4043,0,0,0,0,0,0,0,0,1,2020-03-30,2020-03-30,0,119,0,796113.0,201 to 1000,BUILDING_MATERIALS,0
4046,0,0,0,0,0,0,0,0,1,2019-05-27,2019-05-27,0,427,0,16000001.0,1,,0
4047,0,0,0,0,0,0,0,0,2,2019-01-21,2019-02-04,14,539,0,931397.0,51 to 200,,0
4048,6,0,0,0,2,0,0,0,2,2020-07-13,2020-07-20,7,7,6,16000001.0,26 to 50,,0
4049,0,0,0,0,0,0,0,0,3,2019-11-11,2020-04-13,154,105,0,3657158.0,6 to 10,,0
4050,0,0,0,0,0,0,0,0,4,2020-03-16,2020-07-13,119,14,0,14606.0,1001 to 10000,B2C Services,0
4052,0,0,0,0,0,0,0,0,3,2020-07-13,2020-07-27,14,0,0,2682800.0,6 to 10,,0
4053,0,0,0,0,0,0,0,0,1,2020-04-20,2020-04-20,0,98,0,16026.0,201 to 1000,Consulting/Advisory,0
4054,195,7,243,0,31,6,34,0,11,2020-05-11,2020-07-27,77,0,445,16000001.0,6 to 10,Consulting,0
4055,106,145,72,5,15,11,8,3,14,2020-04-20,2020-07-27,98,0,328,1502617.0,6 to 10,,0
4058,10,1,4,0,4,1,2,0,4,2020-05-25,2020-06-22,28,35,15,40853.0,201 to 1000,Technology - Software,0
4063,36,1,0,0,4,1,0,0,5,2020-02-10,2020-03-23,42,126,37,16000001.0,2 to 5,,0
4064,0,0,0,0,0,0,0,0,4,2019-01-07,2019-11-18,315,252,0,16000001.0,,,0
4065,2,0,0,0,1,0,0,0,17,2019-11-11,2020-07-27,259,0,2,5400852.0,6 to 10,,0
4068,0,0,0,0,0,0,0,0,1,2020-02-03,2020-02-03,0,175,0,16000001.0,1,,0
4070,9,19,0,0,1,1,0,0,1,2020-02-03,2020-02-03,0,175,28,16000001.0,51 to 200,,0
4072,0,0,0,0,0,0,0,0,1,2019-10-21,2019-10-21,0,280,0,16000001.0,,,0
4073,0,0,0,0,0,0,0,0,1,2020-03-23,2020-03-23,0,126,0,54579.0,6 to 10,,0
4074,0,0,0,0,0,0,0,0,1,2019-11-25,2019-11-25,0,245,0,9575576.0,6 to 10,,0
4076,45,0,1,0,2,0,1,0,2,2019-02-11,2019-02-18,7,525,46,16000001.0,6 to 10,,0
4077,307,1,1,0,17,1,1,0,20,2020-02-24,2020-07-20,147,7,309,16000001.0,6 to 10,,0
4080,0,0,0,0,0,0,0,0,1,2019-04-22,2019-04-22,0,462,0,16000001.0,2 to 5,,0
4082,0,0,0,0,0,0,0,0,13,2019-06-03,2020-03-02,273,147,0,16000001.0,,,0
4083,0,0,0,0,0,0,0,0,3,2019-03-04,2019-09-30,210,301,0,781574.0,1001 to 10000,LOGISTICS_AND_SUPPLY_CHAIN,0
4084,0,0,0,0,0,0,0,0,1,2020-04-20,2020-04-20,0,98,0,1421038.0,201 to 1000,MARKETING_AND_ADVERTISING,0
4086,2,0,0,1,2,0,0,1,2,2020-03-09,2020-03-23,14,126,3,16000001.0,,,0
4087,0,0,0,0,0,0,0,0,1,2020-04-27,2020-04-27,0,91,0,16000001.0,,,0
4088,0,0,0,0,0,0,0,0,2,2019-12-16,2019-12-23,7,217,0,16000001.0,2 to 5,,0
4091,0,0,0,0,0,0,0,0,1,2020-05-25,2020-05-25,0,63,0,16000001.0,,,0
4092,0,0,0,0,0,0,0,0,1,2019-11-18,2019-11-18,0,252,0,16000001.0,6 to 10,,0
4093,0,0,0,0,0,0,0,0,3,2019-06-10,2020-01-06,210,203,0,16000001.0,11 to 25,,0
4096,0,0,0,0,0,0,0,0,15,2019-06-17,2020-03-23,280,126,0,16000001.0,26 to 50,,0
4097,0,0,0,0,0,0,0,0,3,2020-03-02,2020-03-30,28,119,0,16000001.0,2 to 5,,0
4099,1,0,0,0,1,0,0,0,1,2020-04-20,2020-04-20,0,98,1,16000001.0,2 to 5,,0
4100,0,0,0,0,0,0,0,0,1,2020-03-16,2020-03-16,0,133,0,722.0,1001 to 10000,CONSUMER_SERVICES,0
4103,0,0,0,0,0,0,0,0,2,2020-05-11,2020-05-18,7,70,0,2322263.0,26 to 50,,0
4104,2,0,0,0,2,0,0,0,10,2020-03-16,2020-07-20,126,7,2,16000001.0,2 to 5,,0
4105,21,9,37,0,2,2,3,0,7,2019-09-09,2020-02-10,154,168,67,3506102.0,,,0
4106,0,0,0,0,0,0,0,0,1,2020-03-23,2020-03-23,0,126,0,2227712.0,11 to 25,,0
4107,0,0,0,0,0,0,0,0,3,2020-02-24,2020-05-04,70,84,0,16000001.0,,,0
4108,0,0,0,0,0,0,0,0,1,2020-04-20,2020-04-20,0,98,0,16000001.0,2 to 5,,0
4110,0,0,0,0,0,0,0,0,1,2020-04-06,2020-04-06,0,112,0,16000001.0,,,0
4111,0,0,0,0,0,0,0,0,2,2019-11-11,2019-11-18,7,252,0,16000001.0,201 to 1000,,0
4112,34,27,15,0,2,1,1,0,4,2019-07-15,2020-02-03,203,175,76,3397504.0,6 to 10,MEDIA_PRODUCTION,0
4116,2,0,0,0,1,0,0,0,3,2019-02-11,2019-11-18,280,252,2,16000001.0,,,0
4117,0,0,0,0,0,0,0,0,1,2020-07-13,2020-07-13,0,14,0,16000001.0,,,0
4118,33,0,0,0,5,0,0,0,12,2019-01-14,2019-10-07,266,294,33,16000001.0,2 to 5,,0
4120,0,0,0,0,0,0,0,0,2,2019-04-15,2019-10-07,175,294,0,4405827.0,201 to 1000,ENVIRONMENTAL_SERVICES,0
4121,0,0,0,0,0,0,0,0,3,2019-03-11,2019-10-28,231,273,0,24678.0,51 to 200,,0
4122,3,0,0,0,1,0,0,0,1,2020-01-13,2020-01-13,0,196,3,1826684.0,51 to 200,Manufacturing,0
4123,0,0,0,0,0,0,0,0,4,2019-01-07,2019-05-20,133,434,0,16000001.0,,,0
4124,0,0,0,0,0,0,0,0,1,2019-08-12,2019-08-12,0,350,0,16000001.0,,,0
4125,0,0,0,0,0,0,0,0,1,2019-10-28,2019-10-28,0,273,0,16000001.0,51 to 200,,0
4126,20,0,0,0,2,0,0,0,2,2020-01-20,2020-01-27,7,182,20,16000001.0,2 to 5,,0
4129,1112,1074,51,0,72,45,19,0,47,2019-05-27,2020-07-20,420,7,2237,16000001.0,51 to 200,,0
4131,0,0,0,0,0,0,0,0,4,2019-05-20,2019-06-17,28,406,0,16000001.0,201 to 1000,,0
4133,0,0,0,0,0,0,0,0,5,2020-06-29,2020-07-27,28,0,0,1118502.0,11 to 25,,0
4134,0,0,0,0,0,0,0,0,3,2020-05-25,2020-06-22,28,35,0,16000001.0,2 to 5,,0
4135,0,0,0,0,0,0,0,0,1,2019-09-23,2019-09-23,0,308,0,,,COMPUTER_SOFTWARE,0
4136,9,0,0,0,4,0,0,0,12,2020-03-30,2020-07-27,119,0,9,16000001.0,2 to 5,,0
4137,0,0,0,0,0,0,0,0,1,2020-06-29,2020-06-29,0,28,0,16000001.0,6 to 10,,0
4138,2524,6,0,0,85,5,0,0,55,2019-05-27,2020-07-27,427,0,2530,115939.0,1001 to 10000,,0
4139,1,0,0,0,1,0,0,0,1,2020-02-24,2020-02-24,0,154,1,6866711.0,6 to 10,,0
4140,265,33,517,0,33,16,40,0,16,2019-09-16,2020-07-27,315,0,815,2926723.0,2 to 5,,0
4141,0,0,0,0,0,0,0,0,1,2020-06-29,2020-06-29,0,28,0,16000001.0,2 to 5,,0
4142,0,0,0,0,0,0,0,0,3,2019-04-22,2019-11-11,203,259,0,16000001.0,11 to 25,,0
4143,0,0,0,0,0,0,0,0,1,2019-09-16,2019-09-16,0,315,0,868.0,51 to 200,NEWSPAPERS,0
4144,8,13,0,0,4,4,0,0,9,2020-03-02,2020-06-01,91,56,21,16000001.0,1,,0
4145,0,0,0,0,0,0,0,0,1,2019-06-17,2019-06-17,0,406,0,16000001.0,11 to 25,,0
4146,0,0,0,0,0,0,0,0,2,2019-05-20,2019-06-10,21,413,0,16000001.0,26 to 50,,0
4147,1,0,0,0,1,0,0,0,1,2020-06-22,2020-06-22,0,35,1,16000001.0,1,,0
4148,0,0,0,0,0,0,0,0,3,2019-02-11,2019-06-10,119,413,0,173639.0,201 to 1000,HIGHER_EDUCATION,0
4149,0,0,0,0,0,0,0,0,4,2019-08-05,2019-10-21,77,280,0,112296.0,26 to 50,,0
4153,0,0,0,0,0,0,0,0,1,2020-03-16,2020-03-16,0,133,0,165080.0,51 to 200,FINANCIAL_SERVICES,0
4155,0,0,2,0,0,0,1,0,3,2019-01-21,2019-05-20,119,434,2,16000001.0,26 to 50,,0
4159,0,0,0,0,0,0,0,0,4,2019-05-13,2019-12-16,217,224,0,16000001.0,11 to 25,,0
4161,3,0,0,0,1,0,0,0,4,2019-04-08,2019-11-04,210,266,3,16000001.0,1,,0
4162,52,0,0,0,1,0,0,0,2,2019-04-08,2019-10-07,182,294,52,16000001.0,11 to 25,,0
4163,0,1,0,0,0,1,0,0,1,2019-06-24,2019-06-24,0,399,1,16000001.0,26 to 50,,0
4164,2,0,0,0,1,0,0,0,1,2019-06-17,2019-06-17,0,406,2,16000001.0,26 to 50,,0
4165,0,0,0,0,0,0,0,0,5,2019-03-04,2019-09-23,203,308,0,6429136.0,51 to 200,HIGHER_EDUCATION,0
4167,0,0,0,0,0,0,0,0,1,2020-02-10,2020-02-10,0,168,0,7875344.0,26 to 50,PROFESSIONAL_TRAINING_COACHING,0
4169,1,0,0,0,1,0,0,0,1,2020-04-13,2020-04-13,0,105,1,2823618.0,6 to 10,,0
4172,2,0,0,0,1,0,0,0,1,2020-04-06,2020-04-06,0,112,2,16000001.0,2 to 5,,0
4173,0,6,0,0,0,2,0,0,2,2020-05-25,2020-06-08,14,49,6,16000001.0,2 to 5,,0
4174,237,0,0,0,14,0,0,0,16,2019-07-29,2020-02-17,203,161,237,262010.0,26 to 50,,0
4175,48,1,0,0,9,1,0,0,9,2020-04-06,2020-07-13,98,14,49,16000001.0,2 to 5,,0
4176,2256,11,358,0,57,6,33,0,29,2019-12-02,2020-07-27,238,0,2625,16000001.0,2 to 5,,0
4177,815,558,280,0,46,44,35,0,20,2020-01-13,2020-07-27,196,0,1653,16000001.0,26 to 50,,0
4179,563,51,73,0,8,7,2,0,17,2019-05-20,2020-02-03,259,175,687,16000001.0,,,0
4180,1,0,0,0,1,0,0,0,1,2020-03-30,2020-03-30,0,119,1,4809617.0,11 to 25,,0
4184,8,0,0,0,4,0,0,0,8,2019-04-08,2020-02-03,301,175,8,6811983.0,1,,0
4186,1,0,0,0,1,0,0,0,1,2020-03-02,2020-03-02,0,147,1,16000001.0,,,0
4187,2,0,0,0,1,0,0,0,1,2020-05-18,2020-05-18,0,70,2,16000001.0,1,,0
4189,26,0,262,0,5,0,20,0,13,2019-12-16,2020-07-27,224,0,288,1717110.0,6 to 10,,0
4191,2,0,0,0,1,0,0,0,1,2020-03-09,2020-03-09,0,140,2,16000001.0,1,,0
4192,6,1,1,0,1,1,1,0,17,2019-11-18,2020-04-06,140,112,8,16000001.0,2 to 5,,0
4193,0,0,0,0,0,0,0,0,4,2019-07-15,2020-02-10,210,168,0,16000001.0,2 to 5,,0
4194,0,0,0,0,0,0,0,0,3,2019-06-24,2020-01-13,203,196,0,16000001.0,1,,0
4196,0,1,0,0,0,1,0,0,1,2019-11-11,2019-11-11,0,259,1,16000001.0,,,0
4197,0,0,0,0,0,0,0,0,1,2020-03-09,2020-03-09,0,140,0,16000001.0,6 to 10,,0
4198,0,0,0,0,0,0,0,0,3,2019-04-08,2019-11-04,210,266,0,16000001.0,6 to 10,,0
4200,149,1,626,0,12,1,32,0,26,2019-10-07,2020-07-27,294,0,776,2346329.0,26 to 50,MARKETING_AND_ADVERTISING,0
